ActualElapsedTime,CRSArrTime,CRSDepTime,DayofMonth,DayofWeek,Dest,Distance,FlightNum,Month,Origin,UniqueCarrier,Year,label_ArrDelayBinary
32,1123,1055,1,6,143,102,276,9,186,2,2001,1
90,1120,1000,7,5,20,321,1225,5,293,7,1999,1
147,1604,1335,1,3,150,921,914,11,210,24,1995,0
109,838,700,18,2,68,430,2743,7,67,27,2006,1
91,904,730,26,7,87,448,793,3,227,7,2000,1
182,1917,1715,26,7,196,1038,852,3,249,25,1995,1
203,944,740,13,6,151,1091,1987,1,67,5,2001,1
68,725,614,3,5,46,383,636,5,89,7,1991,0
90,1438,1420,17,3,176,370,24,1,250,13,1996,1
91,1618,1340,11,4,66,487,142,5,313,22,1995,0
82,1809,1648,12,6,223,386,1667,7,35,16,2008,0
130,1336,1200,7,1,85,888,253,1,239,24,2002,0
42,905,915,18,1,284,157,1481,9,95,16,1995,0
150,1606,1240,20,6,157,977,6756,8,87,18,2005,1
43,1935,1850,30,5,93,95,884,10,67,16,1987,1
100,1510,1335,14,6,84,399,779,4,41,25,1990,1
30,1257,1225,15,4,73,72,1147,2,87,5,1990,0
213,1324,745,8,4,87,1616,1564,8,246,1,2002,0
83,1803,1635,26,5,213,443,619,10,20,7,2001,1
110,904,700,3,4,68,650,548,3,210,25,1994,0
49,831,730,23,6,20,191,378,5,54,7,1998,0
68,1507,1400,14,2,251,328,545,1,288,25,1997,0
206,1932,1410,28,5,87,1456,462,6,232,7,1991,1
120,1220,1010,21,4,198,787,1021,7,52,26,2005,0
142,1506,1344,4,7,87,925,146,9,286,1,1988,0
54,2120,2020,14,6,118,228,3653,4,89,15,2007,1
170,1851,1635,4,5,181,761,401,4,20,11,2008,1
67,1640,1433,14,4,68,333,573,1,150,25,1999,0
109,1345,1316,30,3,235,316,4236,1,67,15,2002,1
181,930,640,6,4,181,1097,1246,7,210,1,1995,1
138,1607,1410,21,4,93,636,1981,8,230,16,2003,1
232,1100,811,6,4,151,1324,1777,2,249,5,2003,0
73,900,740,30,2,105,200,4525,1,41,15,2007,0
61,1701,1600,3,1,93,201,1485,2,255,16,1992,0
99,847,700,3,4,20,581,708,11,115,7,1994,0
72,740,630,28,1,174,258,2705,11,284,26,2005,1
86,832,705,5,6,236,516,442,3,20,7,2005,0
126,2110,1905,22,7,87,631,1587,2,39,1,2004,0
56,2155,2055,22,1,281,248,232,9,83,26,2008,0
147,1803,1445,14,4,85,916,244,11,287,24,1991,1
49,1605,1520,6,7,157,162,2053,8,203,26,2000,1
55,1517,1410,24,4,251,328,1165,12,288,25,1998,1
36,1509,1430,20,4,23,92,1488,9,69,25,1990,0
206,1905,1330,3,3,202,1619,554,1,179,16,1996,0
283,1339,1129,20,7,85,1619,485,3,184,5,1988,1
56,1325,1220,28,2,280,304,866,4,250,26,1992,0
89,1205,1035,20,6,50,370,458,12,41,11,2003,0
25,955,918,8,3,336,82,65,9,175,3,2004,0
191,1200,645,30,1,87,1205,638,6,307,1,2008,1
159,1750,1355,13,3,2,1180,2096,8,294,26,2003,0
34,1525,1447,16,2,291,78,5718,9,220,18,2008,1
157,1716,1600,20,4,235,678,759,11,249,24,2003,1
94,859,820,5,1,234,558,3947,7,303,18,2004,0
81,1925,1800,15,1,246,369,2250,9,51,26,2003,0
24,732,700,30,6,25,62,375,3,176,16,1996,0
158,1456,1105,7,4,50,1235,1078,3,154,5,1996,1
220,1230,700,4,4,105,1605,400,11,87,5,1999,1
105,1132,930,14,7,93,487,491,2,107,5,1999,0
61,2110,2000,2,2,66,314,1825,5,52,5,1995,0
44,1750,1700,5,5,144,192,1552,6,285,26,1992,0
54,2257,2200,19,5,29,251,1712,3,255,25,1999,1
272,1213,935,17,1,296,1829,251,5,239,24,1993,0
115,2022,1920,14,4,52,191,1658,6,20,7,2001,1
85,1731,1610,20,7,301,373,6039,4,179,18,2008,1
90,2254,2115,10,1,242,550,2988,3,295,24,1997,0
125,1946,1640,15,7,26,783,554,4,239,24,2007,0
186,2025,1830,30,2,87,984,533,3,201,7,2004,1
165,1735,1650,19,5,246,1044,1228,4,199,26,1996,1
82,1805,1647,1,5,196,460,1914,4,89,7,1988,1
96,1210,1030,4,3,246,621,807,9,300,26,1996,0
132,1102,900,3,3,308,812,1167,12,79,7,1997,1
135,2035,1805,31,7,200,937,714,12,147,26,2006,0
128,1644,1315,28,3,68,930,672,10,226,16,1998,1
72,719,603,28,4,309,317,352,10,213,22,1993,0
203,2015,1445,25,3,309,1558,348,9,284,22,1996,0
149,1051,810,2,5,113,994,957,5,255,25,2008,0
144,2242,2020,30,1,105,745,966,7,20,7,2007,1
59,1235,1130,5,3,39,185,1830,2,184,7,2003,0
108,2226,2030,22,6,290,679,2060,3,295,24,1997,0
182,2018,1612,10,1,93,1215,1062,7,285,16,2006,0
232,1538,955,1,6,235,1721,942,5,294,24,1999,1
61,930,830,29,4,46,332,444,8,33,7,1991,1
109,1433,1248,13,4,147,603,410,1,89,1,2000,1
53,1102,1006,18,5,22,140,1599,12,154,5,1992,0
332,2100,1850,30,1,176,2053,259,4,67,25,1990,1
313,1619,1405,22,6,176,2288,191,6,153,24,1991,1
84,1335,1150,6,3,20,481,1195,6,274,7,2001,0
102,1845,1700,2,4,20,545,234,11,245,11,2006,1
53,1804,1710,12,6,151,201,1754,10,76,5,1996,0
102,2056,1830,1,4,246,369,479,2,51,25,2007,1
142,2205,1850,4,2,260,907,2243,9,39,26,2001,1
153,1617,1256,13,3,85,862,1458,4,179,1,2005,1
165,1306,755,7,7,87,1205,4930,9,307,9,2003,0
139,1525,1319,23,5,105,745,686,7,20,7,1993,1
85,1305,1155,5,5,113,318,1312,8,170,26,2005,1
49,1235,1145,27,5,81,181,27,7,235,26,2007,0
131,1331,1115,3,6,199,851,1148,2,201,25,2001,0
101,1029,919,24,1,196,237,111,2,313,22,1992,1
59,709,615,10,2,166,211,425,2,33,7,1998,1
139,2358,2110,24,4,0,654,1408,5,239,24,2001,1
128,2130,1900,8,2,20,761,375,7,184,11,2003,0
70,1817,1700,12,7,291,337,888,3,179,24,2000,0
65,1908,1800,27,3,84,214,6873,3,184,25,2002,0
96,1859,1720,29,2,229,543,1527,1,246,24,1991,0
151,1126,735,10,2,241,956,2766,8,154,27,2004,0
92,1355,1110,24,3,2,677,533,5,179,26,1995,0
81,1633,1505,30,4,251,330,692,3,240,25,1995,0
51,858,805,8,2,20,191,728,10,54,7,1991,0
353,2104,1810,23,2,176,2401,703,9,249,25,2008,1
57,2301,2208,25,1,196,237,222,4,313,8,1988,1
55,1313,1222,27,1,198,178,1696,1,115,24,1992,1
77,1124,1013,9,5,68,329,229,7,170,25,1999,1
30,1220,1145,27,6,308,77,295,3,283,22,1993,1
84,1110,955,28,1,84,331,548,2,69,25,1994,1
200,1750,1545,12,6,84,759,1104,6,201,7,1993,1
136,1054,735,1,6,20,906,945,6,226,7,1991,0
256,14,2150,2,4,291,1846,135,6,239,24,1994,0
59,1455,1350,2,7,87,247,376,1,285,7,2000,1
63,1759,1645,9,3,181,296,1494,11,240,20,1988,0
140,1827,1615,5,6,245,920,1708,12,323,24,1987,1
187,1531,1005,3,7,309,1593,300,1,179,22,1988,1
71,1610,1403,21,6,20,302,1046,7,219,7,1990,1
89,817,650,7,5,93,370,1461,10,202,16,1994,0
67,1516,1400,30,7,176,337,390,12,295,25,1990,0
165,1056,740,29,5,85,804,1494,2,276,24,2008,1
155,2012,1800,30,2,235,802,2268,5,89,1,1995,1
52,1705,1605,9,4,87,175,3742,8,235,15,2001,0
79,1800,1747,13,4,235,286,889,10,293,24,1988,1
84,1050,930,15,1,176,370,665,6,250,26,1992,1
263,1546,815,21,5,20,2182,706,2,294,7,1992,1
175,1111,843,3,6,282,722,5033,3,184,17,2007,1
116,2114,1927,24,4,224,604,385,9,313,22,1992,1
25,2324,2255,30,3,45,65,1523,1,53,7,1991,0
67,0,0,3,5,87,190,1980,9,22,1,1999,1
124,1912,1628,27,1,87,592,1682,1,74,1,2003,1
192,1922,1400,2,3,235,1498,246,10,125,24,1996,1
77,1012,850,26,6,20,356,1159,4,271,7,2003,1
122,1350,1145,27,1,235,802,681,6,89,7,1988,0
481,1354,1110,13,5,230,3711,7,7,89,1,2001,1
68,740,630,11,7,267,361,4685,5,70,15,2008,0
83,1615,1450,27,6,291,451,2455,6,104,24,1998,0
197,1727,1444,10,3,87,1302,503,2,249,25,1999,0
44,1215,1135,25,1,206,136,1230,11,49,24,1996,1
52,1145,1055,16,2,87,190,402,2,22,19,1988,1
128,1840,1715,10,4,309,737,1780,5,52,26,2001,1
70,1924,1705,20,4,93,235,446,5,239,24,1993,0
143,15,2155,26,4,198,861,1773,7,249,25,2001,1
98,1638,1505,31,3,174,258,1034,7,111,13,1991,1
60,720,620,31,7,132,306,1665,10,20,5,1993,1
388,1126,800,30,1,291,2586,7,1,171,24,2006,0
61,2235,2135,8,7,296,308,186,9,179,26,1996,1
71,1617,1605,5,5,309,254,713,1,293,22,2001,1
48,925,830,8,1,144,239,7,1,83,26,1996,0
60,925,820,24,2,296,333,908,9,238,26,2002,0
48,645,550,24,3,207,126,4958,4,108,15,2002,0
51,1027,930,23,2,174,236,2036,9,179,13,1997,0
210,1705,1112,21,1,235,1726,696,2,307,24,2005,0
59,816,700,21,7,235,334,570,3,226,24,2004,0
172,1535,1040,29,5,87,1171,1210,9,284,1,2006,0
140,1525,1300,11,5,20,714,4473,1,24,9,2008,1
87,2017,1850,26,1,199,413,832,8,69,25,1996,0
109,1553,1424,11,4,241,545,355,2,20,8,1988,1
88,1522,1355,13,2,299,493,1411,10,2,7,1987,1
91,1533,1400,18,4,39,496,1587,3,255,25,1999,0
82,945,830,19,6,196,405,2189,8,203,26,2000,1
181,2128,2000,22,7,235,733,357,12,184,1,1996,1
75,2045,1925,25,2,309,351,56,5,326,22,1999,0
122,1139,930,30,2,181,761,1200,5,20,7,2000,0
218,1804,1240,5,5,78,1449,922,9,303,7,2003,1
136,2215,1939,12,1,290,978,491,7,307,3,2004,0
86,922,800,17,1,26,406,1672,5,255,25,1999,1
125,1731,1515,28,6,282,722,5606,1,184,17,2006,0
106,2323,2125,10,5,290,671,321,11,232,3,2006,1
184,1235,737,13,4,309,1245,284,9,328,22,1990,1
120,1423,1120,13,5,198,853,1084,4,154,5,1990,1
176,2132,1739,15,5,150,1172,1962,4,89,1,2005,1
88,1255,1125,10,4,200,349,1068,6,226,16,1999,0
95,1745,1605,4,2,87,448,1263,12,227,1,1990,0
135,1240,920,5,5,85,862,1230,4,179,5,1991,0
34,1544,1510,17,3,186,109,481,7,317,24,1991,0
504,1625,1210,8,5,143,3784,17,1,89,7,1988,1
62,1220,1010,7,1,246,256,1936,1,177,26,2002,0
102,1711,1550,22,6,245,453,789,12,95,25,1990,1
57,2205,1950,16,7,2,328,2021,9,250,26,2001,0
104,1103,1015,10,7,235,475,6802,10,334,18,2004,0
93,852,610,11,7,299,507,1776,6,250,7,2000,0
245,1204,940,1,7,85,1605,528,2,107,5,2004,0
59,37,2345,21,4,272,180,1918,10,232,7,1999,0
109,900,715,31,1,20,547,939,10,86,7,1994,1
88,1010,840,16,2,82,391,453,4,86,25,1991,0
116,5,2105,18,4,206,838,2424,9,203,26,2008,0
87,1330,1205,30,3,235,403,1592,5,199,1,2007,0
62,848,750,8,5,87,190,348,6,298,1,1990,1
66,2053,1940,27,4,176,308,1680,10,300,7,1988,0
193,1035,919,29,7,280,1171,641,3,89,1,1998,0
87,1922,1741,7,3,204,329,5548,11,295,18,2007,1
123,1615,1457,1,6,235,622,1263,5,52,24,2004,0
189,2357,1826,4,1,150,1452,728,7,87,24,2005,0
72,2334,2235,8,2,232,282,1099,5,226,16,1990,1
263,2128,1855,14,4,246,1671,251,12,95,16,1995,1
54,1225,1130,27,7,144,239,21,11,83,26,1988,0
125,1215,1015,24,6,108,557,7375,1,239,6,2004,1
65,1430,1330,4,1,68,227,2116,10,20,7,1999,1
264,2247,1525,10,7,20,2182,830,6,294,7,1990,1
93,2210,2027,4,7,50,576,608,9,20,7,1988,0
72,2113,2000,7,1,291,337,1842,10,179,24,2002,0
127,2249,1930,10,2,39,867,542,4,239,24,2007,0
182,1520,1220,7,5,39,1237,2472,11,115,7,2003,1
318,1621,800,12,3,39,2704,92,9,295,24,1990,0
60,705,600,16,7,176,236,2100,7,177,13,2000,0
101,1756,1605,20,7,93,500,408,3,69,25,2005,1
93,1840,1600,19,5,274,528,4241,10,239,15,2007,1
65,825,720,30,1,251,304,593,9,135,25,1991,0
84,940,720,11,1,78,396,1857,6,33,7,1990,1
55,1348,1310,16,3,25,113,261,12,95,16,1987,1
110,1342,1250,20,4,235,599,773,6,69,24,2002,0
232,1323,1130,25,4,176,1536,803,9,226,16,2008,1
125,750,705,25,5,85,533,717,2,199,24,1994,1
233,2032,1755,6,2,87,1302,200,7,249,25,1999,1
121,1915,1720,28,7,48,712,1602,8,20,7,1994,1
210,1614,1350,26,6,87,1192,605,12,86,7,1992,1
134,1103,730,5,1,198,984,857,5,89,7,2003,0
142,1914,1645,23,3,198,957,440,8,95,16,1995,1
79,2150,2055,6,2,315,228,1500,2,249,25,1990,1
58,1600,1500,27,1,280,304,976,6,250,26,1988,0
68,850,740,14,5,92,299,4489,3,239,15,2008,0
45,2050,2000,26,3,133,153,532,12,20,8,1990,0
64,1240,1155,16,5,90,144,743,12,226,16,1994,1
86,1512,1347,24,3,174,386,514,10,300,25,2007,1
85,1030,1010,26,1,100,496,692,3,285,26,1990,1
45,1335,1225,3,7,49,325,495,3,232,26,1991,0
183,1950,1421,11,1,235,1440,1708,5,250,1,1998,0
60,1836,1728,31,2,22,190,1381,3,89,1,1998,0
92,1434,1250,23,4,20,515,576,5,283,7,2002,0
77,1825,1659,3,7,102,451,167,1,295,24,1988,1
56,1247,1145,30,6,174,236,870,11,179,13,2002,1
50,1830,1735,1,3,113,197,1823,10,323,26,1997,0
85,2315,2121,28,5,87,551,445,2,313,22,1992,0
214,2115,1548,13,5,87,1464,1111,2,295,1,1998,1
58,2135,2035,24,4,66,221,632,5,79,7,1990,1
80,753,615,2,4,93,424,541,9,0,16,1999,0
165,1056,700,31,4,105,1167,1166,7,227,5,1997,1
347,1300,900,7,5,143,2677,925,2,294,16,1992,0
305,1531,730,8,1,150,2419,946,1,295,24,2001,1
91,1020,740,28,5,315,607,4056,3,239,15,2008,0
199,1939,1430,2,1,87,1431,1616,3,305,7,1992,1
88,1116,840,18,3,93,457,1744,6,39,16,1997,0
44,1252,1305,1,4,284,157,953,10,95,16,1987,1
56,1643,1551,16,5,22,190,1035,8,89,1,2002,1
261,1105,847,5,6,290,1710,29,8,313,22,1995,1
89,1855,1730,20,2,301,397,641,11,177,26,2007,1
130,1005,840,14,4,229,889,297,10,2,26,2004,1
61,1845,1740,26,2,223,228,615,7,224,16,1994,0
49,1055,1000,20,6,81,239,16,9,147,26,2003,0
298,2209,1520,25,7,176,2486,118,12,234,24,1988,1
104,1920,1745,14,1,87,448,1989,7,227,1,2008,1
79,1159,1025,24,3,66,435,3246,12,240,27,2003,0
174,1802,1540,17,1,151,1208,1859,3,86,5,2003,0
60,1120,1120,6,1,122,287,1900,2,40,26,2006,0
88,952,725,9,2,20,425,753,10,227,7,2007,1
53,1402,1300,20,2,280,109,3077,7,179,15,2004,0
65,1735,1620,18,5,39,200,6160,4,107,6,2003,0
40,1740,1658,5,1,291,86,6471,7,305,18,2004,0
159,2240,1950,27,4,241,951,1119,7,249,25,2000,1
65,659,609,2,6,87,89,3774,6,5,15,2001,1
165,1201,812,17,3,50,1217,636,5,89,1,1995,0
60,1808,1715,30,1,20,153,1101,12,136,7,1996,1
