Film,Roger_Ebert,Jeffrey_Lyons,Michael_Medved,Rex_Reed,Gene_Shalit,Joel_Siegel,Gene_Siskel,binaryClass
101_DALMATIONS,,Pro,Mixed,Pro,,Pro,,N
12_MONKEYS,Pro,Con,Con,Con,,Pro,Mixed,P
2_DAYS_IN_THE_VALLEY,,Pro,Con,Con,,,,N
A_FAMILY_THING,Pro,Mixed,Mixed,Pro,Pro,,Pro,N
A_GOOFY_MOVIE,Pro,,,,,,Pro,P
A_MIDWINTERS_TALE,Pro,Pro,,,,,Pro,N
A_MONTH_BY_THE_LAKE,Pro,Pro,,Pro,,,,N
A_REASON_TO_BELIEVE,,,,Pro,,,,P
A_THIN_LINE_BETWEEN_LOVE&HATE,Mixed,Con,,Con,,,,P
A_TIME_TO_KILL,,Pro,Mixed,Mixed,,,Mixed,N
A_VERY_BRADY_SEQUEL,Mixed,,Con,,,,Pro,N
ABSOLUTE_POWER,Pro,Pro,Con,Con,Mixed,Pro,Mixed,N
ACE_VENTURA:WHEN_NATURE_CALLS,Con,,,,,Con,Con,P
ALASKA,Pro,Pro,Mixed,Pro,,Con,Con,P
ALBINO_ALLIGATOR,Mixed,Con,Pro,,,,,N
AMERICAN_BUFFALO,Mixed,,,,,Pro,,N
ANGEL_BABY,,Mixed,,Pro,,,,P
ANGELS_&_INSECTS,Pro,Mixed,Pro,Pro,,,,N
ANGUS,Pro,,,,,,Mixed,N
ANNE_FRANK_REMEMBERED,,Pro,,,,,,N
ASSASSINS,Con,Con,Pro,,,Mixed,Con,P
AUGUST,,Mixed,,,,,,N
BAD_BOYS,Con,,,,,,Con,N
BALTO,Pro,Pro,Pro,,,Mixed,Con,P
BARB_WIRE,,Con,,,,,,P
BASQUIAT,,Pro,,Con,,Pro,,N
BEAUTIFUL_GIRLS,Pro,Mixed,Pro,Con,,,,N
BEAUTIFUL_THING,,Mixed,,Pro,,,,N
BEAVIS&BUTTHEAD_DO_AMERICA,,,,,,Con,,N
BED_OF_ROSES,Mixed,Con,Con,Pro,,,,P
BEFORE_AND_AFTER,Mixed,Mixed,,Con,Con,Con,Con,P
BIG_NIGHT,,,Pro,Pro,,Pro,,N
BLACK_SHEEP,,Con,,,,Con,,P
BLOOD_AND_WINE,,Pro,Con,Con,,Pro,,N
BLUE_IN_THE_FACE,Mixed,Mixed,,Con,,Pro,,P
BOGUS,Pro,Mixed,,Con,,Con,Mixed,P
BOOTY_CALL,,Con,,,,,,P
BOTTLE_ROCKET,,,,,Pro,,,N
BOUND,,Con,,,,,,N
BOYS,,Con,,Con,,,,P
BOYS_LIFE_2,,,,,,,,N
BREAKING_THE_WAVES,,,,Pro,,Pro,,P
BREATHING_ROOM,,Mixed,,Con,,,,P
BROKEN_ARROW,Mixed,Mixed,Mixed,Mixed,Mixed,,Mixed,N
BULLETPROOF,,Con,,Con,,Pro,,P
BURNT_BY_THE_SUN,Con,,,Pro,,,Mixed,N
BUTTERFLY_KISS,Pro,,,,,,,N
CANADIAN_BACON,,,Con,Con,,,,P
CARRIED_AWAY,,,Con,,,,,N
CARRINGTON,,Con,,Pro,Pro,Con,,N
CASINO,Pro,Mixed,Con,Con,Pro,Pro,,N
CAUGHT,,Pro,,Pro,,,,N
CELESTIAL_CLOCKWORK,,Pro,,,,,,N
CELTIC_PRIDE,Mixed,,Con,,,,Mixed,P
CHAIN_REACTION,Mixed,Con,Con,,,,Mixed,P
CITIZEN_RUTH,,Pro,Con,,,,,N
CITY_HALL,Mixed,Mixed,Con,Mixed,Pro,,Mixed,N
CITY_OF_INDUSTRY,Con,Con,,,,Con,Mixed,N
CITY_OF_LOST_CHILDREN,Pro,Pro,,,,,,N
CLOCKERS,Pro,,Pro,Con,,Pro,Pro,N
COLD_COMFORT_FARM,Pro,Pro,,Pro,Pro,Pro,Pro,N
COPYCAT,Pro,Pro,,Pro,,Pro,Con,P
COURAGE_UNDER_FIRE,,Pro,Mixed,Pro,Pro,Pro,,N
CRASH,,Con,,Con,,Con,Mixed,N
CRY_THE_BELOVED_COUNTRY,,,Pro,Pro,,,,N
CUTTHROAT_ISLAND,Pro,Con,Mixed,Con,,Con,Con,P
DANGEROUS_GROUND,,Con,,Con,,,,P
DANTES_PEAK,Mixed,Pro,Pro,,Con,Con,Mixed,P
DAYLIGHT,Mixed,,Mixed,,,Mixed,Mixed,P
DEAD_MAN,Con,,,,,,,P
DEAD_MAN_WALKING,Pro,Pro,,Pro,,Pro,Pro,P
DEAD_PRESIDENTS,Mixed,Mixed,,Con,,Con,Con,N
DEAR_GOD,Con,,Con,Mixed,,,Con,P
DEVIL_IN_A_BLUE_DRESS,Pro,,Pro,Pro,,Pro,Pro,P
DIABOLIQUE,Mixed,Con,,,,Con,Pro,P
DON_JUAN_DEMARCO,Con,Pro,,,Mixed,Pro,Pro,N
